"","ISO","year","meanHumid","meanHumid2","medHumid","medHumid2","meanPET","medPET","cubM_precip"
"1340","IDN","1985",1.70764070215807,1.70764070215807,1.59711444515934,1.59711444515934,144.78450386452,141.4921875,225993619385.569
"1341","IDN","1990",1.55665890552411,1.55665890552411,1.35845532642731,1.35845532642731,142.950944707163,140.124862670898,202118963462.661
"1342","IDN","1995",1.79415435517348,1.79415435517348,1.72810050267474,1.72810050267474,141.429412208766,137.567756652832,233044606820.514
"1343","IDN","2000",1.81090916810177,1.81090916810177,1.74424417183057,1.74424417183057,144.283826561029,141.722885131836,239860343902.528
"1344","IDN","2005",1.60654414478277,1.60654414478277,1.52071078442068,1.52071078442068,145.280506202153,141.783157348633,213008461534.26
"1345","IMN","1901",9.39051953376423,9.39051953376423,3.11978030663722,3.11978030663722,51.1914095282555,45.1873931884766,179341898.879877
"1346","IMN","1910",10.902685661847,10.902685661847,2.52730602726658,2.52730602726658,50.8185693820318,45.5875473022461,194788512.86692
"1347","IMN","1920",9.70444475804766,9.70444475804766,4.36363611376537,4.36363611376537,50.9747641483943,45.8919677734375,212793958.051786
"1348","IMN","1930",13.0707590339924,13.0707590339924,3.79317243637577,3.79317243637577,51.1691087881724,45.4610862731934,235720114.728708
"1349","IMN","1940",12.2438762959508,12.2438762959508,4.51732656989431,4.51732656989431,51.5380321741104,45.4020462036133,208934941.871727
"1350","IMN","1950",8.69274329684571,8.69274329684571,5.53591466257387,5.53591466257387,51.4912094871203,45.9035205841064,212447851.163169
"1351","IMN","1960",12.9029313031909,12.9029313031909,3.74678261655148,3.74678261655148,51.3755139509837,44.4592475891113,221477133.88764
"1352","IMN","1970",8.58135193686147,8.58135193686147,3.30186118694017,3.30186118694017,51.2435948650042,44.8539390563965,178321314.630518
"1353","IMN","1980",11.1494798494306,11.1494798494306,5.3043848495019,5.3043848495019,50.015308936437,44.1056365966797,229701873.696136
"1354","IMN","1985",10.2796242394406,10.2796242394406,4.04557374416165,4.04557374416165,48.636573155721,43.8413391113281,204919273.117412
"1355","IMN","1990",11.7206031406155,11.7206031406155,1.86423784251249,1.86423784251249,54.0976774692535,46.6553401947021,212693723.750969
"1356","IMN","1995",9.42555093053456,9.42555093053456,3.56759028834944,3.56759028834944,55.8316529989243,48.9311351776123,184754621.259844
"1357","IMN","2000",13.530234601656,13.530234601656,4.21127420530545,4.21127420530545,53.0797570546468,46.166919708252,256588012.734915
"1358","IMN","2005",8.80322605009055,8.80322605009055,2.7564178208285,2.7564178208285,51.5563146869342,46.0259323120117,190328157.860211
"1359","IND","1901",0.572656209292608,0.572656209292608,0.182351697294425,0.182351697294425,158.75543543522,153.748123168945,91161063336.8152
"1360","IND","1910",0.688502512761858,0.688502512761858,0.197373857728313,0.197373857728313,157.565661052812,151.842208862305,110881625510.267
"1361","IND","1920",0.547486921490883,0.547486921490883,0.12259213077438,0.12259213077438,158.341298361434,154.09814453125,87837599770.7291
"1362","IND","1930",0.619619454881455,0.619619454881455,0.182999320862413,0.182999320862413,157.942364670241,153.071723937988,99397227384.6685
"1363","IND","1940",0.633694628272837,0.633694628272837,0.208172338531316,0.208172338531316,160.106975805567,155.17993927002,104131209401.553
